# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
,PIN_AF20,7,3.3-V LVTTL,Column I/O,LVDS160p,,Yes
,PIN_AE20,7,3.3-V LVTTL,Column I/O,LVDS160n,,Yes
,PIN_AB20,7,3.3-V LVTTL,Column I/O,LVDS159p,,Yes
,PIN_AC20,7,3.3-V LVTTL,Column I/O,LVDS159n,,Yes
,PIN_AF21,7,3.3-V LVTTL,Column I/O,LVDS158p,,Yes
,PIN_AE21,7,3.3-V LVTTL,Column I/O,LVDS158n,,Yes
,PIN_Y18,7,3.3-V LVTTL,Column I/O,VREFB7N0,,Yes
,PIN_AA20,7,3.3-V LVTTL,Column I/O,,,Yes
,PIN_U17,7,3.3-V LVTTL,Column I/O,LVDS157p,,Yes
,PIN_U18,7,3.3-V LVTTL,Column I/O,LVDS157n,,Yes
,PIN_V18,7,3.3-V LVTTL,Column I/O,LVDS156p,,Yes
,PIN_W19,7,3.3-V LVTTL,Column I/O,LVDS156n,,Yes
,PIN_AF22,7,3.3-V LVTTL,Column I/O,LVDS155p,,Yes
,PIN_AC21,7,3.3-V LVTTL,Column I/O,"LVDS154p, CDPCLK3/DQS0B/CQ1B",,Yes
,PIN_AD21,7,3.3-V LVTTL,Column I/O,LVDS154n,,Yes
,PIN_AD23,7,3.3-V LVTTL,Column I/O,LVDS153p,,Yes
,PIN_AD22,7,3.3-V LVTTL,Column I/O,LVDS153n,,Yes
,PIN_AC22,7,3.3-V LVTTL,Column I/O,LVDS152p,,Yes
,PIN_AB21,7,3.3-V LVTTL,Column I/O,LVDS152n,,Yes
,PIN_AF23,7,3.3-V LVTTL,Column I/O,LVDS151p,,Yes
,PIN_AE23,7,3.3-V LVTTL,Column I/O,LVDS151n,,Yes
,PIN_Y19,,3.3-V LVTTL,GNDA_PLL4,,,Yes
,PIN_AA19,,3.3-V LVTTL,VCCA_PLL4,,,Yes
,PIN_AA21,,3.3-V LVTTL,GND_PLL4,,,Yes
,PIN_Y20,,3.3-V LVTTL,VCCD_PLL4,,,Yes
,PIN_W20,,3.3-V LVTTL,GND_PLL4,,,Yes
,PIN_AC23,6,3.3-V LVTTL,Row I/O,,,Yes
,PIN_AE25,6,3.3-V LVTTL,Row I/O,LVDS150n/INIT_DONE,,Yes
,PIN_AE24,6,3.3-V LVTTL,Row I/O,LVDS150p/nCEO,,Yes
,PIN_AD25,6,3.3-V LVTTL,Row I/O,LVDS149n,,Yes
,PIN_AD24,6,3.3-V LVTTL,Row I/O,LVDS149p,,Yes
,PIN_Y21,6,3.3-V LVTTL,Row I/O,,,Yes
,PIN_V20,6,3.3-V LVTTL,Row I/O,PLL4_OUTn,,Yes
,PIN_V21,6,3.3-V LVTTL,Row I/O,PLL4_OUTp,,Yes
,PIN_W21,6,3.3-V LVTTL,Row I/O,LVDS148n,,Yes
,PIN_Y22,6,3.3-V LVTTL,Row I/O,LVDS148p,,Yes
,PIN_AA24,6,3.3-V LVTTL,Row I/O,LVDS147n,,Yes
,PIN_AA23,6,3.3-V LVTTL,Row I/O,LVDS147p,,Yes
,PIN_AB24,6,3.3-V LVTTL,Row I/O,LVDS146n,,Yes
,PIN_AB23,6,3.3-V LVTTL,Row I/O,LVDS146p,,Yes
,PIN_V22,6,3.3-V LVTTL,Row I/O,VREFB6N1,,Yes
,PIN_AC25,6,3.3-V LVTTL,Row I/O,LVDS145n,,Yes
,PIN_AC26,6,3.3-V LVTTL,Row I/O,LVDS145p,,Yes
,PIN_AB26,6,3.3-V LVTTL,Row I/O,LVDS144n,,Yes
,PIN_AB25,6,3.3-V LVTTL,Row I/O,LVDS144p,,Yes
